날짜,언론사명,기사 카테고리,유입 경로,PV,UV,이탈률,기사 제목,작성자,기기,지역,성별,연령,광고비,클릭수
2025-10-27,A신문,정치,네이버,10000,8000,0.65,"[속보] 2026년 최저임금 1만 5천원... 노사 갈등",김기자,모바일,Seoul,male,35-44,50000,500
2025-10-27,B일보,경제,구글,7500,6000,0.55,"삼성전자, 4분기 어닝 서프라이즈... AI 반도체 '효자'",이기자,모바일,Busan,male,45-54,35000,300
2025-10-27,C뉴스,사회,직접유입,5000,4500,0.70,가을 단풍 절정... 주말 나들이객 '북적',박기자,데스크탑,Seoul,female,25-34,15000,100
2025-10-27,A신문,IT/과학,네이버,6200,5100,0.60,"오픈AI, 새로운 'GPT-5' 모델 전격 공개",최기자,모바일,Seoul,male,25-34,28000,250
2025-10-27,B일보,라이프,다음,3100,2800,0.50,올가을 꼭 가봐야 할 숨겨진 맛집 BEST 5,이기자,모바일,Incheon,female,35-44,12000,150
2025-10-27,C뉴스,정치,구글,4500,4000,0.72,"한미일 정상, 3자 안보 협력 강화 합의",박기자,데스크탑,Seoul,male,45-54,20000,180
2025-10-28,A신문,경제,구글,12000,9000,0.60,"[단독] 현대차, 美 조지아 신공장 가동 시작",김기자,모바일,Gwangju,male,35-44,60000,650
2025-10-28,B일보,정치,네이버,8000,6500,0.50,"[속보] 2026년 최저임금 1만 5천원... 노사 갈등",이기자,모바일,Seoul,female,55-64,40000,410
2025-10-28,C뉴스,경제,네이버,6000,5000,0.68,"삼성전자, 4분기 어닝 서프라이즈... AI 반도체 '효자'",박기자,모바일,(not set),unknown,unknown,30000,280
2025-10-28,A신문,사회,직접유입,7300,6200,0.61,"'n번째' 전세사기... 피해자 눈물",최기자,데스크탑,Seoul,female,35-44,25000,150
2025-10-28,B일보,IT/과학,구글,5500,4800,0.53,"오픈AI, 새로운 'GPT-5' 모델 전격 공개",김기자,모바일,Busan,male,18-24,26000,280
2025-10-28,C뉴스,라이프,네이버,4800,4100,0.69,환절기 감기 예방하는 면역력 강화 식품은?,박기자,태블릿,Daegu,female,45-54,14000,130
2025-10-29,A신문,사회,직접유입,9000,7000,0.62,"'n번째' 전세사기... 피해자 눈물",김기자,모바일,Seoul,female,25-34,30000,180
2025-10-29,B일보,경제,구글,8500,7000,0.52,"[단독] 현대차, 美 조지아 신공장 가동 시작",이기자,모바일,Incheon,male,35-44,42000,450
2025-10-29,C뉴스,정치,네이버,5500,4800,0.72,"한미일 정상, 3자 안보 협력 강화 합의",박기자,데스크탑,(not set),unknown,unknown,23000,200
2025-10-29,A신문,IT/과학,페이스북,4200,3800,0.58,"오픈AI, 새로운 'GPT-5' 모델 전격 공개",최기자,모바일,Seoul,male,18-24,20000,210
2025-10-29,B일보,라이프,네이버,3900,3100,0.49,올가을 꼭 가봐야 할 숨겨진 맛집 BEST 5,이기자,모바일,Busan,female,45-54,13000,160
2025-10-29,C뉴스,경제,구글,6100,5000,0.67,"삼성전자, 4분기 어닝 서프라이즈... AI 반도체 '효자'",김기자,태블릿,Daegu,male,55-64,31000,300
2025-10-30,A신문,정치,네이버,11000,8500,0.63,"[속보] 2026년 최저임금 1만 5천원... 노사 갈등",김기자,모바일,Seoul,female,35-44,55000,560
2025-10-30,B일보,사회,직접유입,7800,6100,0.58,"'n번째' 전세사기... 피해자 눈물",이기자,모바일,Seoul,male,25-34,26000,160
2025-10-30,C뉴스,경제,구글,6200,5100,0.69,"삼성전자, 4분기 어닝 서프라이즈... AI 반도체 '효자'",박기자,데스크탑,Incheon,female,45-54,32000,310
2025-10-30,A신문,경제,네이버,9500,7200,0.59,"[단독] 현대차, 美 조지아 신공장 가동 시작",최기자,모바일,Busan,male,35-44,48000,500
2025-10-30,B일보,IT/과학,구글,6800,5500,0.51,"오픈AI, 새로운 'GPT-5' 모델 전격 공개",김기자,모바일,Seoul,female,18-24,30000,330
2Request a file
2025-10-30,C뉴스,라이프,다음,4100,3300,0.66,환절기 감기 예방하는 면역력 강화 식품은?,박기자,데스크탑,Daegu,male,55-64,13000,120
2025-10-31,A신문,정치,페이스북,2200,1800,0.75,"한미일 정상, 3자 안보 협력 강화 합의",이기자,모바일,Seoul,female,25-34,10000,90
2025-10-31,B일보,사회,직접유입,5300,4500,0.63,"'n번째' 전세사기... 피해자 눈물",김기자,데스크탑,(not set),unknown,unknown,18000,100
2025-10-31,C뉴스,IT/과학,네이버,7100,6000,0.61,"오픈AI, 새로운 'GPT-5' 모델 전격 공개",최기자,모바일,Incheon,male,35-44,33000,350
2025-10-31,A신문,라이프,구글,3800,3100,0.52,올가을 꼭 가봐야 할 숨겨진 맛집 BEST 5,이기자,모바일,Seoul,female,45-54,14000,170
2025-10-31,B일보,정치,네이버,8800,7000,0.57,"[속보] 2026년 최저임금 1만 5천원... 노사 갈등",박기자,태블릿,Busan,male,25-34,43000,450
2025-10-31,C뉴스,경제,직접유입,4900,4000,0.68,"[단독] 현대차, 美 조지아 신공장 가동 시작",김기자,모바일,Seoul,female,35-44,24000,200
